bench,seq_len,head_dim,heads,batch,fused_ms,baseline_ms,speedup,tokens_per_s,baseline_tokens_per_s,l2_diff,perplexity_delta,scratch_bytes,baseline_scratch_bytes,scratch_ratio,tile_tokens,acc_width,has_avx2,has_vnni,csr_outliers,l2_bytes_per_token
attn_decode_int8_qk,1024,64,32,1,2.38448,3.80219,1.59456,1.37422e+07,8.61819e+06,0.00421422,0,8704,16384,0.53125,256,fp32,1,0,0,0.265625
attn_decode_fp16,1024,64,32,1,3.80219,3.80219,1,8.61819e+06,8.61819e+06,0.00421422,0,16384,16384,1,256,fp32,1,0,0,0.5
attn_decode_int8_qk,1024,64,32,4,9.60322,15.2364,1.5866,1.36488e+07,8.60254e+06,0.00166593,0,8704,40960,0.2125,256,fp32,1,0,0,0.0664062
attn_decode_fp16,1024,64,32,4,15.2364,15.2364,1,8.60254e+06,8.60254e+06,0.00166593,0,40960,40960,1,256,fp32,1,0,0,0.3125
attn_decode_int8_qk,1024,64,32,8,19.1232,30.7158,1.6062,1.37081e+07,8.5345e+06,0.00126944,0,8704,73728,0.118056,256,fp32,1,0,0,0.0332031
attn_decode_fp16,1024,64,32,8,30.7158,30.7158,1,8.5345e+06,8.5345e+06,0.00126944,0,73728,73728,1,256,fp32,1,0,0,0.28125
attn_decode_int8_qk,2048,64,32,1,4.78268,7.9125,1.65441,1.37028e+07,8.28259e+06,0.00237465,0,16896,24576,0.6875,256,fp32,1,0,0,0.257812
attn_decode_fp16,2048,64,32,1,7.9125,7.9125,1,8.28259e+06,8.28259e+06,0.00237465,0,24576,24576,1,256,fp32,1,0,0,0.375
attn_decode_int8_qk,2048,64,32,4,19.5488,30.5443,1.56246,1.34097e+07,8.58243e+06,0.00149419,0,16896,49152,0.34375,256,fp32,1,0,0,0.0644531
attn_decode_fp16,2048,64,32,4,30.5443,30.5443,1,8.58243e+06,8.58243e+06,0.00149419,0,49152,49152,1,256,fp32,1,0,0,0.1875
attn_decode_int8_qk,2048,64,32,8,38.2799,61.1692,1.59794,1.36962e+07,8.57111e+06,0.00105703,0,16896,81920,0.20625,256,fp32,1,0,0,0.0322266
attn_decode_fp16,2048,64,32,8,61.1692,61.1692,1,8.57111e+06,8.57111e+06,0.00105703,0,81920,81920,1,256,fp32,1,0,0,0.15625
attn_decode_int8_qk,4096,64,32,1,9.57198,15.2634,1.59459,1.36933e+07,8.58736e+06,0.00250266,0,33280,40960,0.8125,256,fp32,1,0,0,0.253906
attn_decode_fp16,4096,64,32,1,15.2634,15.2634,1,8.58736e+06,8.58736e+06,0.00250266,0,40960,40960,1,256,fp32,1,0,0,0.3125
attn_decode_int8_qk,4096,64,32,4,38.2192,61.2879,1.60359,1.37179e+07,8.55451e+06,0.00112472,0,33280,65536,0.507812,256,fp32,1,0,0,0.0634766
attn_decode_fp16,4096,64,32,4,61.2879,61.2879,1,8.55451e+06,8.55451e+06,0.00112472,0,65536,65536,1,256,fp32,1,0,0,0.125
