bench,seq_len,head_dim,heads,batch,fused_ms,baseline_ms,speedup,tokens_per_s,baseline_tokens_per_s,l2_diff,perplexity_delta,scratch_bytes,baseline_scratch_bytes,scratch_ratio
attn_decode_int8_qk,1024,64,32,1,2.35011,3.88443,1.65287,1.39432e+07,8.43572e+06,0.00421422,0,8704,16384,0.53125
attn_decode_fp16,1024,64,32,1,3.88443,3.88443,1,8.43572e+06,8.43572e+06,0.00421422,0,16384,16384,1
attn_decode_int8_qk,1024,64,32,4,9.43389,15.3868,1.63101,1.38937e+07,8.51847e+06,0.00166593,0,8704,40960,0.2125
attn_decode_fp16,1024,64,32,4,15.3868,15.3868,1,8.51847e+06,8.51847e+06,0.00166593,0,40960,40960,1
attn_decode_int8_qk,1024,64,32,8,18.906,30.7678,1.62741,1.38656e+07,8.52007e+06,0.00126944,0,8704,73728,0.118056
attn_decode_fp16,1024,64,32,8,30.7678,30.7678,1,8.52007e+06,8.52007e+06,0.00126944,0,73728,73728,1
attn_decode_int8_qk,2048,64,32,1,4.68668,7.68193,1.6391,1.39835e+07,8.53119e+06,0.00237465,0,16896,24576,0.6875
attn_decode_fp16,2048,64,32,1,7.68193,7.68193,1,8.53119e+06,8.53119e+06,0.00237465,0,24576,24576,1
attn_decode_int8_qk,2048,64,32,4,18.838,30.6524,1.62716,1.39157e+07,8.55215e+06,0.00149419,0,16896,49152,0.34375
attn_decode_fp16,2048,64,32,4,30.6524,30.6524,1,8.55215e+06,8.55215e+06,0.00149419,0,49152,49152,1
attn_decode_int8_qk,2048,64,32,8,37.6962,61.2588,1.62507,1.39083e+07,8.55857e+06,0.00105703,0,16896,81920,0.20625
attn_decode_fp16,2048,64,32,8,61.2588,61.2588,1,8.55857e+06,8.55857e+06,0.00105703,0,81920,81920,1
attn_decode_int8_qk,4096,64,32,1,9.42882,15.3152,1.62429,1.39012e+07,8.55831e+06,0.00250266,0,33280,40960,0.8125
attn_decode_fp16,4096,64,32,1,15.3152,15.3152,1,8.55831e+06,8.55831e+06,0.00250266,0,40960,40960,1
attn_decode_int8_qk,4096,64,32,4,37.6336,61.6761,1.63886,1.39314e+07,8.50066e+06,0.00112472,0,33280,65536,0.507812
attn_decode_fp16,4096,64,32,4,61.6761,61.6761,1,8.50066e+06,8.50066e+06,0.00112472,0,65536,65536,1
attn_decode_int8_qk,4096,64,32,8,75.7548,123.657,1.63233,1.38417e+07,8.47973e+06,0.000868653,0,33280,98304,0.338542
attn_decode_fp16,4096,64,32,8,123.657,123.657,1,8.47973e+06,8.47973e+06,0.000868653,0,98304,98304,1
attn_decode_int8_qk,1024,128,32,1,3.44154,7.52769,2.1873,9.52131e+06,4.353e+06,0.00388197,0,9216,24576,0.375
attn_decode_fp16,1024,128,32,1,7.52769,7.52769,1,4.353e+06,4.353e+06,0.00388197,0,24576,24576,1
attn_decode_int8_qk,1024,128,32,4,13.8045,30.1884,2.18685,9.49487e+06,4.34181e+06,0.00226777,0,9216,73728,0.125
attn_decode_fp16,1024,128,32,4,30.1884,30.1884,1,4.34181e+06,4.34181e+06,0.00226777,0,73728,73728,1
attn_decode_int8_qk,1024,128,32,8,27.5972,60.6494,2.19767,9.49895e+06,4.32229e+06,0.00148373,0,9216,139264,0.0661765
attn_decode_fp16,1024,128,32,8,60.6494,60.6494,1,4.32229e+06,4.32229e+06,0.00148373,0,139264,139264,1
attn_decode_int8_qk,2048,128,32,1,6.82983,15.1603,2.21972,9.59556e+06,4.32286e+06,0.00427933,0,17408,32768,0.53125
attn_decode_fp16,2048,128,32,1,15.1603,15.1603,1,4.32286e+06,4.32286e+06,0.00427933,0,32768,32768,1
attn_decode_int8_qk,2048,128,32,4,27.67,60.8213,2.19809,9.47393e+06,4.31007e+06,0.00204365,0,17408,81920,0.2125
attn_decode_fp16,2048,128,32,4,60.8213,60.8213,1,4.31007e+06,4.31007e+06,0.00204365,0,81920,81920,1
attn_decode_int8_qk,2048,128,32,8,54.8169,121.271,2.21228,9.56434e+06,4.32329e+06,0.00144971,0,17408,147456,0.118056
attn_decode_fp16,2048,128,32,8,121.271,121.271,1,4.32329e+06,4.32329e+06,0.00144971,0,147456,147456,1
attn_decode_int8_qk,4096,128,32,1,13.8595,30.5153,2.20177,9.45721e+06,4.29528e+06,0.00349739,0,33792,49152,0.6875
attn_decode_fp16,4096,128,32,1,30.5153,30.5153,1,4.29528e+06,4.29528e+06,0.00349739,0,49152,49152,1
attn_decode_int8_qk,4096,128,32,4,54.5856,121.763,2.23067,9.60487e+06,4.30582e+06,0.0018432,0,33792,98304,0.34375
attn_decode_fp16,4096,128,32,4,121.763,121.763,1,4.30582e+06,4.30582e+06,0.0018432,0,98304,98304,1
attn_decode_int8_qk,4096,128,32,8,109.94,244.2,2.22121,9.53771e+06,4.29392e+06,0.00130734,0,33792,163840,0.20625
attn_decode_fp16,4096,128,32,8,244.2,244.2,1,4.29392e+06,4.29392e+06,0.00130734,0,163840,163840,1
attn_decode_int8_qk,1024,64,64,1,4.6884,7.63708,1.62893,1.39783e+07,8.58129e+06,0.00250322,0,8704,24576,0.354167
attn_decode_fp16,1024,64,64,1,7.63708,7.63708,1,8.58129e+06,8.58129e+06,0.00250322,0,24576,24576,1
attn_decode_int8_qk,1024,64,64,4,18.9014,30.7404,1.62635,1.3869e+07,8.52768e+06,0.00119911,0,8704,73728,0.118056
attn_decode_fp16,1024,64,64,4,30.7404,30.7404,1,8.52768e+06,8.52768e+06,0.00119911,0,73728,73728,1
attn_decode_int8_qk,1024,64,64,8,37.6405,61.2673,1.62769,1.39288e+07,8.55739e+06,0.000881562,0,8704,139264,0.0625
attn_decode_fp16,1024,64,64,8,61.2673,61.2673,1,8.55739e+06,8.55739e+06,0.000881562,0,139264,139264,1
