bench,rows,cols,batch,rank,fused_ms,baseline_ms,base_ms,speedup,lora_tax_pct,tokens_per_s,baseline_tokens_per_s,l2_diff
fused_base_lora,4096,4096,1,8,28.1644,233.692,28.0022,8.29742,0.579287,145432,17527.4,5.47205
baseline_two_call,4096,4096,1,8,233.692,233.692,28.0022,1,0,17527.4,17527.4,5.47205
fused_base_lora,4096,4096,4,8,106.108,931.833,105.521,8.78197,0.555515,154409,17582.5,10.8422
baseline_two_call,4096,4096,4,8,931.833,931.833,105.521,1,0,17582.5,17582.5,10.8422
fused_base_lora,4096,4096,8,8,210.3,1864.75,209.357,8.86706,0.45077,155815,17572.4,15.2634
baseline_two_call,4096,4096,8,8,1864.75,1864.75,209.357,1,0,17572.4,17572.4,15.2634
fused_base_lora,4096,4096,1,16,28.3062,440.701,27.8112,15.5691,1.77982,144703,9294.28,5.47205
baseline_two_call,4096,4096,1,16,440.701,440.701,27.8112,1,0,9294.28,9294.28,5.47205
fused_base_lora,4096,4096,4,16,106.51,1763.92,105.709,16.5611,0.757967,153826,9288.41,10.8422
baseline_two_call,4096,4096,4,16,1763.92,1763.92,105.709,1,0,9288.41,9288.41,10.8422
fused_base_lora,4096,4096,8,16,211.02,3524.33,208.991,16.7014,0.970752,155284,9297.65,15.2634
baseline_two_call,4096,4096,8,16,3524.33,3524.33,208.991,1,0,9297.65,9297.65,15.2634
fused_base_lora,4096,4096,1,32,28.3408,855.543,28.0853,30.1876,0.909645,144527,4787.61,5.47206
baseline_two_call,4096,4096,1,32,855.543,855.543,28.0853,1,0,4787.61,4787.61,5.47206
fused_base_lora,4096,4096,4,32,106.981,3424.55,105.737,32.0107,1.17668,153148,4784.28,10.8422
baseline_two_call,4096,4096,4,32,3424.55,3424.55,105.737,1,0,4784.28,4784.28,10.8422
fused_base_lora,4096,4096,8,32,212.722,6845.38,208.979,32.18,1.79085,154042,4786.88,15.2634
baseline_two_call,4096,4096,8,32,6845.38,6845.38,208.979,1,0,4786.88,4786.88,15.2634
fused_base_lora,4096,4096,1,64,28.632,1686.57,28.0468,58.9048,2.08679,143057,2428.6,5.47205
baseline_two_call,4096,4096,1,64,1686.57,1686.57,28.0468,1,0,2428.6,2428.6,5.47205
fused_base_lora,4096,4096,4,64,108.482,6758.95,105.976,62.3049,2.36455,151030,2424.05,10.8421
baseline_two_call,4096,4096,4,64,6758.95,6758.95,105.976,1,0,2424.05,2424.05,10.8421
fused_base_lora,4096,4096,8,64,214.334,13514.4,210.288,63.0531,1.92371,152883,2424.67,15.2634
baseline_two_call,4096,4096,8,64,13514.4,13514.4,210.288,1,0,2424.67,2424.67,15.2634
fused_base_lora,4096,4096,1,8,65.1649,244.38,68.9098,3.75017,-5.4345,62855.9,16760.8,5.47206
baseline_two_call,4096,4096,1,8,244.38,244.38,68.9098,1,0,16760.8,16760.8,5.47206
fused_base_lora,4096,4096,4,8,124.521,980.867,143.302,7.87713,-13.1059,131576,16703.6,10.8421
baseline_two_call,4096,4096,4,8,980.867,980.867,143.302,1,0,16703.6,16703.6,10.8421
fused_base_lora,4096,4096,8,8,73.088,2007.75,71.6075,27.4704,2.06739,448337,16320.7,15.2634
baseline_two_call,4096,4096,8,8,2007.75,2007.75,71.6075,1,0,16320.7,16320.7,15.2634
fused_base_lora,4096,4096,1,16,64.1517,463.742,68.7751,7.22884,-6.72252,63848.6,8832.49,5.47206
baseline_two_call,4096,4096,1,16,463.742,463.742,68.7751,1,0,8832.49,8832.49,5.47206
fused_base_lora,4096,4096,4,16,126.395,1838.25,130.582,14.5437,-3.2064,129625,8912.83,10.8422
baseline_two_call,4096,4096,4,16,1838.25,1838.25,130.582,1,0,8912.83,8912.83,10.8422
fused_base_lora,4096,4096,8,16,72.1374,4732.35,75.6383,65.6019,-4.6285,454244,6924.26,15.2634
baseline_two_call,4096,4096,8,16,4732.35,4732.35,75.6383,1,0,6924.26,6924.26,15.2634
fused_base_lora,4096,4096,1,32,67.4104,903.748,64.8687,13.4066,3.9183,60762.1,4532.24,5.47207
baseline_two_call,4096,4096,1,32,903.748,903.748,64.8687,1,0,4532.24,4532.24,5.47207
fused_base_lora,4096,4096,4,32,126.18,3586.41,125.839,28.423,0.270997,129846,4568.36,10.8421
baseline_two_call,4096,4096,4,32,3586.41,3586.41,125.839,1,0,4568.36,4568.36,10.8421
fused_base_lora,4096,4096,8,32,124.207,7223.18,73.4188,58.1544,69.1759,263818,4536.51,15.2634
baseline_two_call,4096,4096,8,32,7223.18,7223.18,73.4188,1,0,4536.51,4536.51,15.2634
fused_base_lora,4096,4096,1,64,66.5346,1749.74,64.0307,26.2982,3.91057,61561.9,2340.92,5.47206
baseline_two_call,4096,4096,1,64,1749.74,1749.74,64.0307,1,0,2340.92,2340.92,5.47206
fused_base_lora,4096,4096,4,64,127.771,7106.5,123.582,55.6192,3.38922,128230,2305.49,10.8422
