stage,elapsed_us
scheduler.enqueue_microbatch,3.738
scheduler.build_microbatch,8.136
scheduler.decode_pop,105.66
scheduler.adapter_pop,4936.12
scheduler.enqueue_microbatch,7.553
scheduler.build_microbatch,12.678
scheduler.decode_pop,23065.3
scheduler.adapter_pop,26384.1
scheduler.enqueue_microbatch,11.451
scheduler.build_microbatch,20.883
scheduler.decode_pop,41682.8
scheduler.adapter_pop,46538
scheduler.enqueue_microbatch,11.516
scheduler.build_microbatch,21.019
scheduler.decode_pop,66718.2
scheduler.adapter_pop,71573.5
scheduler.enqueue_microbatch,6.408
scheduler.build_microbatch,10.382
scheduler.decode_pop,83962.7
scheduler.adapter_pop,82868.8
scheduler.enqueue_microbatch,11.098
scheduler.build_microbatch,22.089
scheduler.decode_pop,79202.4
scheduler.adapter_pop,81325.8
scheduler.enqueue_microbatch,6.978
scheduler.build_microbatch,14.105
scheduler.decode_pop,78865.4
scheduler.adapter_pop,78506.9
scheduler.enqueue_microbatch,10.83
scheduler.build_microbatch,18.548
scheduler.decode_pop,83092.6
scheduler.adapter_pop,82756.7
scheduler.enqueue_microbatch,6.632
scheduler.build_microbatch,13.304
scheduler.decode_pop,76599
scheduler.adapter_pop,78010.2
scheduler.enqueue_microbatch,5.839
scheduler.build_microbatch,10.427
scheduler.decode_pop,78580.2
scheduler.adapter_pop,77629.3
scheduler.enqueue_microbatch,10.967
scheduler.build_microbatch,21.601
scheduler.decode_pop,84263.8
scheduler.adapter_pop,84231.4
scheduler.enqueue_microbatch,8.74
scheduler.build_microbatch,16.231
scheduler.decode_pop,75310.3
scheduler.adapter_pop,76052.4
scheduler.enqueue_microbatch,4.491
scheduler.build_microbatch,11.174
scheduler.decode_pop,84109.6
scheduler.adapter_pop,83833.5
scheduler.enqueue_microbatch,6.702
scheduler.build_microbatch,13.602
scheduler.decode_pop,85766
scheduler.adapter_pop,86104.8
scheduler.enqueue_microbatch,7.137
scheduler.build_microbatch,12.934
scheduler.decode_pop,79351.1
scheduler.adapter_pop,79721.3
scheduler.enqueue_microbatch,6.494
scheduler.build_microbatch,16.366
scheduler.decode_pop,81184.1
scheduler.adapter_pop,81332.1
scheduler.enqueue_microbatch,10.967
scheduler.build_microbatch,18.175
scheduler.decode_pop,77450.3
scheduler.adapter_pop,76404.4
scheduler.enqueue_microbatch,8.466
scheduler.build_microbatch,15.857
scheduler.decode_pop,76131
scheduler.adapter_pop,75840.6
scheduler.enqueue_microbatch,4.191
scheduler.build_microbatch,10.866
scheduler.decode_pop,80709.5
scheduler.adapter_pop,80694.4
scheduler.enqueue_microbatch,4.331
scheduler.build_microbatch,11.039
scheduler.decode_pop,76833.4
scheduler.adapter_pop,76555.9
scheduler.enqueue_microbatch,6.114
scheduler.build_microbatch,13.543
scheduler.decode_pop,80870
scheduler.adapter_pop,80678
scheduler.enqueue_microbatch,8.442
scheduler.build_microbatch,17.553
scheduler.decode_pop,80878.8
scheduler.adapter_pop,81217.9
scheduler.enqueue_microbatch,7.092
scheduler.build_microbatch,14.858
scheduler.decode_pop,83387.3
